Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,ertert (product.metafields.custom.ertert),Größentabelle (product.metafields.custom.grosentabelle),Material & Pflege (product.metafields.custom.material_pflege),Material & Pflege2 (product.metafields.custom.material_pflege2),Handelsartikelbeschreibung (product.metafields.import_information.trade_item_description),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sonnenalleetee,Sonnenallee Tee,"<p><strong>Sonnenallee Tee von <a href=""https://www.instagram.com/media_bean/"">Marc</a></strong><br>Ein Bild aus Berlin-Neukölln: Graffiti, AMG, ein Mann in kariertem Hemd: die Sonnenallee zwischen Realität und Klischee.<br>Das Sonnenallee Tee fängt diesen Moment ein und bringt ihn als Fotoprint auf dein Shirt.<br></p>
<p><strong class=""size-guide-title"">Größentabelle</strong></p>
<div data-unit-system=""metric"" class=""table-responsive dynamic"">
<table cellpadding=""5"">
<tbody>
<tr>
<td> </td>
<td><strong>KÖRPERLÄNGE (cm)</strong></td>
<td><strong>BRUSTWEITE (cm)</strong></td>
<td><strong>ÄRMELLÄNGE (cm)</strong></td>
</tr>
<tr>
<td><strong>S</strong></td>
<td>69</td>
<td>49.5</td>
<td>22.5</td>
</tr>
<tr>
<td><strong>M</strong></td>
<td>73</td>
<td>53.5</td>
<td>24</td>
</tr>
<tr>
<td><strong>L</strong></td>
<td>75</td>
<td>56.5</td>
<td>24.5</td>
</tr>
<tr>
<td><strong>XL</strong></td>
<td>77</td>
<td>59.5</td>
<td>25</td>
</tr>
<tr>
<td><strong>2XL</strong></td>
<td>79</td>
<td>63.5</td>
<td>25.5</td>
</tr>
<tr>
<td><strong>3XL</strong></td>
<td>81</td>
<td>67.5</td>
<td>26</td>
</tr>
</tbody>
</table>
</div>",DSTRCTEE,Uncategorized,"","",true,Größe,S,,,,,,,,7738729_11869,150.2524725625,shopify,deny,manual,27.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-687959f5d83ce.jpg?v=1752783362,1,Product mockup,false,,,,"Größentabelle

&nbsp;	KÖRPERLÄNGE (cm)	BRUSTWEITE (cm)	ÄRMELLÄNGE (cm)
S	69	49.5	22.5
M	73	53.5	24
L	75	56.5	24.5
XL	77	59.5	25
2XL	79	63.5	25.5
3XL	81	67.5	26","'- 100 % Bio-Baumwolle (ringgesponnen, gekämmt)
- Stoffgewicht: 180 g/m² (5.3 oz/yd²)
- Single Jersey für ein angenehmes Tragegefühl
- Medium Fit
- Set-In Ärmel, 1x1 Rippkragen, Doppelnaht an Ärmeln und Saum
- Nackenband aus gleichem Stoff für extra Komfort

Nachhaltigkeit
- GOTS & OCS zertifiziert (Global Organic Textile Standard, Organic Content Standard)
- OEKO-TEX Standard 100
- PETA-Approved Vegan

Hergestellt unter fairen Bedingungen in Bangladesch",,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-687959f5d83ce.jpg?v=1752783362,oz,PC040100,14.15,active
sonnenalleetee,,,,,,,,,M,,,,,,,,7738729_11870,170.09713875,shopify,deny,manual,27.00,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-687959f5d83ce.jpg?v=1752783362,oz,PC040100,14.15,
sonnenalleetee,,,,,,,,,L,,,,,,,,7738729_11871,175.767043375,shopify,deny,manual,27.00,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-687959f5d83ce.jpg?v=1752783362,oz,PC040100,14.15,
sonnenalleetee,,,,,,,,,XL,,,,,,,,7738729_11872,187.106852625,shopify,deny,manual,27.00,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-687959f5d83ce.jpg?v=1752783362,oz,PC040100,14.15,
sonnenalleetee,,,,,,,,,2XL,,,,,,,,7738729_11873,192.77675725,shopify,deny,manual,28.10,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-687959f5d83ce.jpg?v=1752783362,oz,PC040100,15.45,
sonnenalleetee,,,,,,,,,3XL,,,,,,,,7738729_17229,226.796185,shopify,deny,manual,29.20,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-687959f5d83ce.jpg?v=1752783362,oz,PC040100,16.75,
unisex-bio-raglan-hoodie,Turmstraße Hoodie,"<p>Dein Viertel. Dein Statement. Mit dem „Turmstraße“ Hoodie holst du dir ein Stück Moabit direkt in deinen Alltag. Die Berliner Künstlerin Hannah hat mit ihrer handgezeichneten Skizze die urbane Stimmung der Turmstraße eingefangen – minimalistisch, roh und doch detailverliebt.<br><br>Der hochwertige Hoodie in Schwarz kommt mit weichem Innenfutter. Auf der Vorderseite findest du das dezente Districtee-Logo in Rosa, während auf dem Rücken das kunstvolle Turmstraße-Motiv für den Eyecatcher sorgt.<br></p>
<p><strong class=""size-guide-title"">Größentabelle</strong></p>
<div class=""table-responsive dynamic"" data-unit-system=""metric"">
<table cellpadding=""5"">
<tbody>
<tr>
<td> </td>
<td><strong>LÄNGE (cm)</strong></td>
<td><strong>WEITE (cm)</strong></td>
</tr>
<tr>
<td><strong>XS</strong></td>
<td>65</td>
<td>49</td>
</tr>
<tr>
<td><strong>S</strong></td>
<td>68</td>
<td>52</td>
</tr>
<tr>
<td><strong>M</strong></td>
<td>69</td>
<td>55.1</td>
</tr>
<tr>
<td><strong>L</strong></td>
<td>70</td>
<td>58</td>
</tr>
<tr>
<td><strong>XL</strong></td>
<td>71.1</td>
<td>61</td>
</tr>
<tr>
<td><strong>2XL</strong></td>
<td>71.9</td>
<td>64</td>
</tr>
</tbody>
</table>
</div>",DSTRCTEE,Uncategorized,"","",true,Größe,XS,,,,,,,,9474400_13723,439.9845989,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-front-686fa43330334.jpg?v=1752147006,1,Product mockup,false,,,,,"• Außen: 100% Bio-Baumwolle
• Anthrazitfarbenes Mischgewebe besteht zu 60% aus Baumwolle und 40% recyceltem Polyester
• Innenseite für alle Farben: 80% Bio-Baumwolle, 20% recyceltes Polyester
• Angerauter Innenstoff
• Normale Passform
• Raglan-Ärmel
• Gerippte Bündchen und gerippter Saum
• Kordel mit Metallösen und Stoppern
• Innenkapuze aus Jersey
•Rohprodukt wird aus Bangladesch bezogen",,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-front-686fa43330334.jpg?v=1752147006,oz,PC040100,39.20,active
unisex-bio-raglan-hoodie,,,,,,,,,S,,,,,,,,9474400_13724,489.8797596,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-left-686fa43330ea1.jpg?v=1752147006,2,Product mockup,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-front-686fa43330334.jpg?v=1752147006,oz,PC040100,39.20,
unisex-bio-raglan-hoodie,,,,,,,,,M,,,,,,,,9474400_13725,499.80209269375,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-right-686fa433310b3.jpg?v=1752147006,3,Product mockup,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-front-686fa43330334.jpg?v=1752147006,oz,PC040100,39.20,
unisex-bio-raglan-hoodie,,,,,,,,,L,,,,,,,,9474400_13726,529.85258720625,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-back-686fa43331285.jpg?v=1752147007,4,Product mockup,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-front-686fa43330334.jpg?v=1752147006,oz,PC040100,39.20,
unisex-bio-raglan-hoodie,,,,,,,,,XL,,,,,,,,9474400_13727,529.85258720625,shopify,deny,manual,50.00,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-front-686fa43330334.jpg?v=1752147006,oz,PC040100,39.20,
unisex-bio-raglan-hoodie,,,,,,,,,2XL,,,,,,,,9474400_13728,559.90308171875,shopify,deny,manual,51.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-front-686fa43330334.jpg?v=1752147006,oz,PC040100,40.50,
